mu_bins,freq
4.05928216e-10,7.0
1.3192667020000002e-09,34024.0
2.0296410800000003e-09,45050.0
3.0444616200000002e-09,24534.0
4.160764214e-09,13056.0
5.175584754e-09,7872.0
6.291887348e-09,5002.0
7.408189942e-09,4094.0
8.423010482000001e-09,4691.0
9.539313076e-09,5915.0
1.065561567e-08,6957.0
1.1873400318e-08,6339.0
1.2989702912e-08,4832.0
1.4106005506000002e-08,3400.0
1.5323790154e-08,2073.0
1.6541574802e-08,1282.0
1.7657877396e-08,895.0
1.8875662044000008e-08,571.0
2.0093446692e-08,406.0
2.1412713394000005e-08,281.0
2.2630498042e-08,172.0
2.3949764744000002e-08,146.0
2.5167549392e-08,99.0
2.6486816094000003e-08,61.0
2.7806082795999997e-08,55.0
2.9226831552000006e-08,42.0
3.0546098254e-08,30.0
3.1966847010000003e-08,24.0
3.3387595766e-08,19.0
3.470686246800001e-08,19.0
3.6229093278000005e-08,12.0
3.7649842034e-08,15.0
3.9172072844000005e-08,6.0
4.059282160000001e-08,4.0
4.221653446400001e-08,4.0
4.3738765274000004e-08,5.0
4.5260996084e-08,6.0
4.688470894800001e-08,3.0
4.8508421812e-08,2.0
5.0132134676e-08,3.0
5.1857329594e-08,1.0
5.358252451200001e-08,1.0
5.530771943000001e-08,1.0
5.885959132e-08,4.0
6.0686268292e-08,1.0
6.2512945264e-08,2.0
6.444110429e-08,2.0
6.8297422342e-08,1.0
7.2356704502e-08,3.0
7.448782763600001e-08,1.0
8.108416114600001e-08,1.0
8.3316766334e-08,3.0
8.565085357600002e-08,2.0
8.8086422872e-08,10.0
9.0521992168e-08,3.0
9.2957561464e-08,3.0
9.5596094868e-08,2.0
9.823462827200001e-08,12.0
1.0087316167600002e-07,2.0
1.03714659188e-07,3.0
1.0655615670000001e-07,3.0
1.09499136266e-07,5.0
1.1254359788600001e-07,11.0
1.15588059506e-07,5.0
1.1883548523400002e-07,9.0
1.22184393016e-07,10.0
1.25634782852e-07,25.0
1.29186654742e-07,21.0
1.32840008686e-07,19.0
1.36696326738e-07,23.0
1.40654126844e-07,29.0
1.44814891058e-07,28.0
1.4917861938e-07,64.0
1.53643829756e-07,46.0
1.58413486294e-07,70.0
1.6328462488600002e-07,134.0
1.6856169169400002e-07,67.0
1.7404172261000003e-07,154.0
1.79826199688e-07,147.0
1.8601660498200003e-07,155.0
1.9251145643799998e-07,219.0
1.99513718164e-07,226.0
2.0702339016000002e-07,204.0
2.1514195448000002e-07,335.0
2.23970893178e-07,169.0
2.33713170362e-07,286.0
2.44368786032e-07,159.0
2.56343668404e-07,165.0
2.69840781586e-07,74.0
2.8546901790200005e-07,40.0
3.0404023378400005e-07,16.0
3.26670731826e-07,4.0
