mu_bins,freq
4.05928216e-10,1.0
1.3192667020000002e-09,81933.0
2.0296410800000003e-09,273485.0
3.0444616200000002e-09,191255.0
4.160764214e-09,120844.0
5.175584754e-09,98456.0
6.291887348e-09,95568.0
7.408189942e-09,91641.0
8.423010482000001e-09,89996.0
9.539313076e-09,88803.0
1.065561567e-08,83586.0
1.1873400318e-08,75967.0
1.2989702912e-08,66522.0
1.4106005506000002e-08,55748.0
1.5323790154e-08,43790.0
1.6541574802e-08,32810.0
1.7657877396e-08,24294.0
1.8875662044000008e-08,17613.0
2.0093446692e-08,12273.0
2.1412713394000005e-08,8811.0
2.2630498042e-08,6540.0
2.3949764744000002e-08,5199.0
2.5167549392e-08,3984.0
2.6486816094000003e-08,2881.0
2.7806082795999997e-08,2345.0
2.9226831552000006e-08,1886.0
3.0546098254e-08,1480.0
3.1966847010000003e-08,1281.0
3.3387595766e-08,1114.0
3.470686246800001e-08,1034.0
3.6229093278000005e-08,829.0
3.7649842034e-08,755.0
3.9172072844000005e-08,652.0
4.059282160000001e-08,530.0
4.221653446400001e-08,461.0
4.3738765274000004e-08,422.0
4.5260996084e-08,350.0
4.688470894800001e-08,286.0
4.8508421812e-08,382.0
5.0132134676e-08,256.0
5.1857329594e-08,193.0
5.358252451200001e-08,207.0
5.530771943000001e-08,175.0
5.703291434800001e-08,176.0
5.885959132e-08,137.0
6.0686268292e-08,105.0
6.2512945264e-08,105.0
6.444110429e-08,81.0
6.6369263316e-08,104.0
6.8297422342e-08,72.0
7.0327063422e-08,58.0
7.2356704502e-08,74.0
7.448782763600001e-08,73.0
7.661895077000001e-08,53.0
7.8851555958e-08,53.0
8.108416114600001e-08,60.0
8.3316766334e-08,62.0
8.565085357600002e-08,60.0
8.8086422872e-08,93.0
9.0521992168e-08,50.0
9.2957561464e-08,52.0
9.5596094868e-08,76.0
9.823462827200001e-08,70.0
1.0087316167600002e-07,98.0
1.03714659188e-07,70.0
1.0655615670000001e-07,79.0
1.09499136266e-07,133.0
1.1254359788600001e-07,167.0
1.15588059506e-07,130.0
1.1883548523400002e-07,117.0
1.22184393016e-07,191.0
1.25634782852e-07,238.0
1.29186654742e-07,325.0
1.32840008686e-07,281.0
1.36696326738e-07,369.0
1.40654126844e-07,438.0
1.44814891058e-07,422.0
1.4917861938e-07,690.0
1.53643829756e-07,580.0
1.58413486294e-07,740.0
1.6328462488600002e-07,1072.0
1.6856169169400002e-07,1121.0
1.7404172261000003e-07,1413.0
1.79826199688e-07,1411.0
1.8601660498200003e-07,1605.0
1.9251145643799998e-07,1702.0
1.99513718164e-07,1989.0
2.0702339016000002e-07,2176.0
2.1514195448000002e-07,2529.0
2.23970893178e-07,2190.0
2.33713170362e-07,2176.0
2.44368786032e-07,2140.0
2.56343668404e-07,1741.0
2.69840781586e-07,1510.0
2.8546901790200005e-07,1190.0
3.0404023378400005e-07,579.0
3.26670731826e-07,217.0
3.55897563378e-07,56.0
3.9699779524800004e-07,9.0
