gene_id,expected_SYN,observed_SYN,observed/expected_SYN,gene_SYN,gene_length,obs_syn,exp_syn,oe_syn,mu_syn,oe_lof,oe_syn_lower,oe_syn_upper,oe_lof_lower,oe_lof_upper,expected/gene_length,lower_oe_bound,LOEUF_SYN,posterior_distribution_mean_SYN
ENSG00000187634,77.47368361754694,106.0,1.368206532211309,SAMD11,19696,270,158.98,1.6983,9.2699e-06,0.89656,1.537,1.875,0.64,1.28,0.003933472970021676,1.169116911691169,1.6077607760776078,1.3811013340891423
ENSG00000188976,219.23572545632018,263.0,1.1996220025389943,NOC2L,15106,320,199.38,1.6049,1.3672e-05,1.0291,1.464,1.761,0.805,1.327,0.014513155398935534,1.084908490849085,1.3285328532853287,1.2041833029288767
ENSG00000187961,184.56520493365022,255.0,1.3816255349521083,KLHL17,5129,360,201.09,1.7903,1.6269e-05,0.90749,1.641,1.939,0.664,1.259,0.03598463734327358,1.2475247524752475,1.5325532553255325,1.38704367418099
ENSG00000187583,127.85408989896497,132.0,1.032426886807542,PLEKHN1,9369,216,174.52,1.2377,1.1429e-05,0.80467,1.107,1.385,0.585,1.124,0.013646503351367805,0.8964896489648965,1.1929192919291929,1.04024830261669
ENSG00000188290,10.009585330813637,18.0,1.7982762926840303,HES4,1211,53,41.769,1.2689,1.9868e-06,1.6997,1.017,1.595,0.816,1.947,0.00826555353494107,1.1721172117211722,1.963996399639964,1.6266028380319764
ENSG00000187608,62.44394810078583,59.0,0.9448473678309509,ISG15,1118,63,58.148999999999994,1.0834,4.467e-06,0.0,0.884,1.336,0.0,1.691,0.05585326305973688,0.7662766276627663,1.1735173517351736,0.9608617299564458
ENSG00000188157,380.7390028969318,405.0,1.0637208085288699,AGRN,35994,727,603.35,1.2049,4.963e-05,0.31914000000000003,1.133,1.281,0.237,0.435,0.010577846388201695,0.980898089808981,1.1549154915491548,1.0663472796610403
ENSG00000131591,20.140012128847815,23.0,1.142005270545773,C1orf159,34544,72,65.884,1.0928,5.4986e-06,0.69466,0.903,1.33,0.394,1.302,0.0005830248995150479,0.8214821482148215,1.611961196119612,1.1896025841262154
ENSG00000162571,46.666023960490286,48.0,1.0285855945353117,TTLL10,24052,167,174.6,0.95647,1.2599e-05,0.77894,0.842,1.087,0.547,1.132,0.0019402138683057661,0.8160816081608161,1.3083308330833083,1.0500142896754545
ENSG00000186891,28.354869268503016,31.0,1.093286648809742,TNFRSF18,3184,77,67.921,1.1337,4.6136e-06,1.2557,0.942,1.37,0.719,1.88,0.00890542376523336,0.8216821682168217,1.4751475147514752,1.128422075898802
