gene_id,expected_MIS,observed_MIS,observed/expected_MIS,gene_MIS,gene_length_MIS,obs_mis,exp_mis,oe_mis,mu_mis,oe_lof,oe_mis_lower,oe_mis_upper,oe_lof_lower,oe_lof_upper,expected/gene_length,lower_oe_bound,LOEUF_MIS,posterior_distribution_mean_MIS
ENSG00000187634,126.45546662655302,167.0,1.3206230181664085,SAMD11,19696,546,362.02,1.5082,2.0713000000000003e-05,0.89656,1.405,1.619,0.64,1.28,0.006420362846595909,1.1645164516451645,1.5015501550155017,1.328530936630606
ENSG00000188976,386.40017185388234,360.0,0.9316766042643853,NOC2L,15106,577,462.01,1.2489,2.9346e-05,1.0291,1.166,1.338,0.805,1.327,0.025579251413602698,0.8548854885488549,1.0165016501650166,0.9342645948317863
ENSG00000187961,268.1903141329837,247.0,0.9209877724276189,KLHL17,5129,467,433.55,1.0772,3.1317e-05,0.90749,0.998,1.163,0.664,1.259,0.05228900645993053,0.8302830283028303,1.0233023302330233,0.9247164678625484
ENSG00000187583,198.48643602499766,213.0,1.0731211878537357,PLEKHN1,9369,480,381.17,1.2593,2.406e-05,0.80467,1.168,1.358,0.585,1.124,0.02118544519425741,0.9598959895989599,1.2021202120212022,1.0781593154962412
ENSG00000188290,18.78909096551908,25.0,1.3305593147576384,HES4,1211,103,90.43,1.139,4.1431e-06,1.6997,0.97,1.342,0.816,1.947,0.015515351746919141,0.9676967696769677,1.8067806780678068,1.368919683534293
ENSG00000187608,83.60460238971255,81.0,0.9688461841182915,ISG15,1118,117,115.66,1.0115,8.0856e-06,0.0,0.87,1.179,0.0,1.691,0.07478050303194325,0.8096809680968097,1.1655165516551655,0.9808072481196515
ENSG00000188157,580.8847839348167,483.0,0.8314901910982045,AGRN,35994,1303,1326.1,0.98257,9.9464e-05,0.31914000000000003,0.938,1.029,0.237,0.435,0.016138378172329184,0.7718771877187719,0.8964896489648965,0.8332117028810166
ENSG00000131591,33.22774403493842,39.0,1.1737179616826274,C1orf159,34544,120,137.48,0.8728799999999999,9.6849e-06,0.69466,0.752,1.016,0.394,1.302,0.0009618962492745026,0.9086908690869088,1.5327532753275328,1.203651708313458
ENSG00000162571,78.13925220500435,58.0,0.7422645899890689,TTLL10,24052,387,405.7,0.9539,2.7128000000000002e-05,0.77894,0.877,1.038,0.547,1.132,0.00324876318830053,0.6010601060106011,0.9236923692369238,0.7550622553337079
ENSG00000186891,55.855498363251805,52.0,0.9309737004192877,TNFRSF18,3184,175,155.12,1.1281,9.4039e-06,1.2557,0.997,1.279,0.719,1.88,0.017542556018609236,0.7450745074507451,1.172917291729173,0.9488770405728417
