gene_id,expected_LoF,observed_LoF,observed/expected_LoF,gene_LoF,gene_length,obs_lof,exp_lof,oe_lof,mu_lof,oe_lof_lower,oe_lof_upper,expected/gene_length,lower_oe_bound,LOEUF_LoF,posterior_distribution_mean_LoF
ENSG00000187634,11.946237586266475,7.0,0.5859585454793965,SAMD11,19696,22.0,24.538,0.89656,1.3068000000000001e-06,0.64,1.28,0.0006065311528364376,0.33323332333233324,1.1005100510051005,0.6695928234122843
ENSG00000188976,16.855905795647917,19.0,1.127201363744313,NOC2L,15106,43.0,41.785,1.0291,2.1537000000000002e-06,0.805,1.327,0.0011158417711934275,0.785878587858786,1.6413641364136413,1.1825051231370751
ENSG00000187961,11.932218678324434,9.0,0.7542603972175788,KLHL17,5129,26.0,28.65,0.90749,1.6488e-06,0.664,1.259,0.002326422046856002,0.45464546454645466,1.3147314731473148,0.8374690618749888
ENSG00000187583,10.968206679613104,4.0,0.3646904290593745,PLEKHN1,9369,25.0,31.069000000000003,0.80467,1.5693000000000002e-06,0.585,1.124,0.0011706912882498777,0.17961796179617961,0.8344834483448345,0.45585730504444333
ENSG00000187642,8.928474368798799,7.0,0.7840085227171629,C1orf170,6919,21.0,17.757,1.1826,1.0314e-06,0.837,1.686,0.0012904284389071829,0.4456445644564457,1.4601460146014602,0.8919617453532024
ENSG00000188290,1.0849651049894136,2.0,1.8433772577593772,HES4,1211,6.0,3.53,1.6997,1.5251e-07,0.816,1.947,0.0008959249421877899,0.5068506850685068,1.936993699369937,1.308903205600155
ENSG00000188157,38.695959564068275,8.0,0.20673993073500424,AGRN,35994,29.0,90.87,0.31914000000000003,5.0007e-06,0.237,0.435,0.0010750669434924785,0.12141214121412142,0.373037303730373,0.23258242207687974
ENSG00000131591,1.411158600353683,1.0,0.708637568980104,C1orf159,34544,7.0,10.077,0.69466,5.1189e-07,0.394,1.302,4.0851047949099205e-05,0.21802180218021802,1.8477847784778478,0.9828849278417529
ENSG00000162571,10.590095518808523,13.0,1.2275621099839344,TTLL10,24052,20.0,25.676,0.77894,1.2353e-06,0.547,1.132,0.00044029999662433575,0.7942794279427943,1.8211821182118213,1.285430466240416
ENSG00000186891,2.941845725268305,1.0,0.33992265175931247,TNFRSF18,3184,8.0,6.3711,1.2557,2.7184000000000003e-07,0.719,1.88,0.0009239465217551208,0.11941194119411942,1.4837483748374838,0.646445523681708
ENSG00000186827,2.896525329340432,1.0,0.34524124124532,TNFRSF4,2813,7.0,9.9223,0.70548,4.2223e-07,0.4,1.322,0.0010296926161892754,0.12121212121212122,1.497949794979498,0.6544203763065226
ENSG00000078808,5.682360939973951,5.0,0.8799159456461632,SDF4,15124,6.0,15.495999999999999,0.3872,7.2768e-07,0.211,0.764,0.00037571812615537893,0.45624562456245626,1.7099709970997101,1.018127623800867
ENSG00000184163,3.2003409096836775,2.0,0.6249334231701211,FAM132A,4277,11.0,10.895,1.0096,4.6266000000000004e-07,0.634,1.64,0.0007482676898956459,0.2506250625062506,1.690969096909691,0.866085025360695
ENSG00000160087,3.607676720874108,0.0,0.0,UBE2J2,19977,1.0,12.142000000000001,0.082362,6.0108e-07,0.028,0.391,0.00018059151628743595,0.014201420142014202,0.8264826482648265,0.275616112595657
ENSG00000162572,13.695680393003737,19.0,1.3872987288536542,SCNN1D,11594,45.0,36.37,1.2373,1.7875e-06,0.973,1.586,0.0011812731061759305,0.9604960496049605,1.8767876787678768,1.4144723381461546
ENSG00000131584,15.44894438901093,5.0,0.3236467084156621,ACAP3,17234,17.0,43.538999999999994,0.39045,2.0147999999999998e-06,0.266,0.586,0.0008964224433683956,0.16921692169216923,0.6804680468046805,0.38837603222695066
ENSG00000169972,5.56563471759039,11.0,1.9764142920185008,PUSL1,3111,23.0,11.329,2.0302,5.5856e-07,1.332,1.977,0.0017890179098651205,1.0915091509150916,1.9671967196719673,1.6094686960048188
ENSG00000127054,12.248802579696067,7.0,0.5714844332296923,CPSF3L,13107,26.0,36.284,0.7165699999999999,2.182e-06,0.524,0.994,0.0009345237338594695,0.32503250325032507,1.0733073307330734,0.6530768777421474
ENSG00000224051,0.4551526760548454,0.0,0.0,GLTPD1,4142,3.0,5.3083,0.56516,2.2641999999999999e-07,0.256,1.427,0.00010988717432516788,0.0666066606660666,1.8427842784278428,0.8503077672762511
ENSG00000169962,10.679904870914429,9.0,0.8427041353627157,TAS1R3,3993,34.0,28.932,1.1752,1.4194e-06,0.893,1.563,0.0026746568672462883,0.5078507850785079,1.4625462546254626,0.9336344905748817
ENSG00000107404,9.315154880965272,3.0,0.32205583678809735,DVL1,14075,14.0,29.868000000000002,0.46871999999999997,1.5928e-06,0.309,0.733,0.0006618227268891845,0.14661466146614663,0.8322832283228323,0.4293903167260296
ENSG00000162576,5.767972733670364,4.0,0.6934845542265002,MXRA8,9089,13.0,18.29,0.71077,8.412799999999999e-07,0.462,1.13,0.0006346102688602007,0.34043404340434047,1.5357535753575358,0.8522854224738476
ENSG00000175756,2.9603713624699477,2.0,0.6755909158408173,AURKAIP1,1766,6.0,6.0536,0.99115,2.5728000000000004e-07,0.536,1.77,0.0016763144747847947,0.2686268626862686,1.740774077407741,0.9127387032502671
ENSG00000221978,10.100100347914902,1.0,0.09900891729322703,CCNL2,13618,7.0,28.000999999999998,0.24999000000000002,1.7744e-06,0.141,0.47,0.0007416728115666692,0.0352035203520352,0.46964696469646966,0.198017833832712
ENSG00000242485,3.388532197203859,4.0,1.180452115314327,MRPL20,5406,8.0,7.1235,1.123,3.8465000000000005e-07,0.651,1.817,0.0006268095074368959,0.5464546454645465,1.8899889988998901,1.22695280950267
ENSG00000235098,4.963096638797176,5.0,1.0074355516099254,ANKRD65,3350,10.0,5.3394,1.8729,3.1538e-07,1.028,1.961,0.001481521384715575,0.5168516851685169,1.8109810981098111,1.1245383762513725
ENSG00000205116,0.7296111624027795,0.0,0.0,TMEM88B,1660,0.0,1.3625,0.0,5.8937e-08,0.0,1.605,0.0004395247966281804,0.05360536053605361,1.7905790579057905,0.7649663843333493
ENSG00000179403,2.6307048258391377,1.0,0.3801262650898212,VWA1,8022,5.0,9.8583,0.5071899999999999,5.952700000000001e-07,0.264,1.066,0.0003279362784641159,0.13261326132613263,1.5795579557955797,0.7038370039304812
ENSG00000215915,3.4073916485710156,4.0,1.173918472705511,ATAD3C,20470,15.0,19.669,0.76263,9.842e-07,0.509,1.174,0.00016645782357454887,0.5442544254425443,1.8885888588858886,1.2237479844434358
ENSG00000160072,2.574970881695215,2.0,0.7767078121999241,ATAD3B,26086,32.0,29.105,1.0995,1.6394e-06,0.829,1.477,9.87108365289893e-05,0.30223022302230224,1.8075807580758076,0.9917504279272151
ENSG00000197785,2.950393167098098,3.0,1.016813634689472,ATAD3A,22537,19.0,33.718,0.5635,1.9407e-06,0.392,0.827,0.00013091330554635037,0.43684368436843685,1.8625862586258626,1.1325284893319354
ENSG00000205090,2.469559626170356,1.0,0.40493049424797234,TMEM240,5280,2.0,7.2344,0.27646,3.1533e-07,0.112,0.87,0.00046771962616862803,0.1404140414041404,1.6263626362636263,0.7359933928029115
